"STATISTIC Label","Year","Age Group","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration (Persons in April)","1987","All ages","Both sexes","Net migration","Thousand","-23"
"Estimated Migration (Persons in April)","1987","All ages","Both sexes","Emigrants: All destinations","Thousand","40.2"
"Estimated Migration (Persons in April)","1987","All ages","Both sexes","Immigrants: All origins","Thousand","17.2"
"Estimated Migration (Persons in April)","1987","All ages","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","All ages","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","All ages","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","All ages","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","All ages","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","1987","All ages","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","1987","0 - 14 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","0 - 14 years","Both sexes","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration (Persons in April)","1987","0 - 14 years","Both sexes","Immigrants: All origins","Thousand","3.1"
"Estimated Migration (Persons in April)","1987","0 - 14 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","0 - 14 years","Male","Emigrants: All destinations","Thousand","1.4"
"Estimated Migration (Persons in April)","1987","0 - 14 years","Male","Immigrants: All origins","Thousand","1.3"
"Estimated Migration (Persons in April)","1987","0 - 14 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","0 - 14 years","Female","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration (Persons in April)","1987","0 - 14 years","Female","Immigrants: All origins","Thousand","1.8"
"Estimated Migration (Persons in April)","1987","15 - 24 years","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","15 - 24 years","Both sexes","Emigrants: All destinations","Thousand","24"
"Estimated Migration (Persons in April)","1987","15 - 24 years","Both sexes","Immigrants: All origins","Thousand","5.1"
"Estimated Migration (Persons in April)","1987","15 - 24 years","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","15 - 24 years","Male","Emigrants: All destinations","Thousand","12.3"
"Estimated Migration (Persons in April)","1987","15 - 24 years","Male","Immigrants: All origins","Thousand","1.9"
"Estimated Migration (Persons in April)","1987","15 - 24 years","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","1987","15 - 24 years","Female","Emigrants: All destinations","Thousand","11.7"
"Estimated Migration (Persons in April)","1987","15 - 24 years","Female","Immigrants: All origins","Thousand","3.2"
"Estimated Migration (Persons in April)","1987","25 - 44 years","Both sexes","Net migration","Thousand",""
